brand,make,year,price,km,gearbox,doors,imported,kW,cm3,fuel,registered,color,aircon,damage,car_type,standard,drive
Hyundai,ix35,2012,9000,143500,M,4/5,0,90,1600.0,petrol,0,GR,4,0,SUV,5,F
Citroen,C3,2004,2050,203415,M,4/5,0,50,1398.0,diesel,0,BL,4,0,SDN,3,F
Fiat,Doblo,2015,7300,115000,M,4/5,0,55,1248.0,diesel,1,WH,2,0,PU,5,F
Citroen,C3,2003,2099,180000,M,4/5,0,44,1124.0,petrol,1,GR,4,0,HB,3,F
Opel,Corsa,2007,3000,174000,M,2/3,0,66,1248.0,diesel,1,BL,2,0,HB,4,F
Fiat,Doblo,2015,5990,71000,M,2/3,0,66,1248.0,diesel,1,WH,2,0,PU,5,F
Fiat,Doblo,2015,8600,177000,M,4/5,0,77,1598.0,diesel,0,WH,2,0,PU,5,F
Fiat,Doblo,2014,6200,208000,M,4/5,0,77,1598.0,diesel,0,GR,2,0,PU,5,F
Opel,Zafira,2004,2500,183000,M,4/5,0,74,1995.0,diesel,0,GR,2,0,VAN,3,F
Renault,Kangoo,2015,6700,81000,M,4/5,0,66,1461.0,diesel,1,WH,1,0,PU,5,F
Citroen,C3,2005,2800,145000,S,4/5,0,65,1360.0,petrol,1,BL,3,0,HB,4,F
Volvo,S40,2007,3800,256500,M,4/5,0,80,1560.0,diesel,1,BL,4,0,SDN,4,F
VW,Passat,2008,4850,207000,M,4/5,0,103,1985.0,diesel,0,VAR,4,0,SW,4,F
Renault,Kangoo,2013,5600,140000,M,4/5,0,66,1461.0,diesel,0,WH,2,0,PU,5,F
Fiat,Doblo,2016,7300,112000,M,4/5,0,55,1248.0,diesel,0,WH,2,0,PU,5,F
Fiat,Doblo,2015,5700,77000,M,4/5,0,66,1248.0,diesel,1,WH,1,0,PU,5,F
Fiat,Doblo,2015,7500,210000,M,4/5,0,66,1248.0,diesel,0,WH,2,0,PU,5,F
BMW,316,2013,10800,199000,M,4/5,0,85,1995.0,diesel,1,VAR,2,0,SW,6,B
Citroen,C3,2010,3200,142000,M,4/5,0,50,1398.0,diesel,1,WH,2,0,HB,4,F
Toyota,RAV4,2005,5100,124900,M,4/5,0,92,1794.0,LPG,0,BL,2,0,SUV,3,F
Fiat,Grande Punto,2013,3990,146000,M,4/5,0,57,1368.0,LPG,1,WH,2,0,HB,5,F
Fiat,Panda,2014,6300,84000,M,4/5,0,55,1248.0,diesel,0,WH,2,0,HB,5,F
Renault,Kangoo,2013,5800,163000,M,4/5,0,66,1461.0,diesel,0,WH,2,0,PU,5,F
Opel,Corsa,2002,1500,233000,M,2/3,0,44,1700.0,diesel,1,GR,2,0,HB,3,F
Fiat,Doblo,2016,7300,134000,M,4/5,0,66,1248.0,diesel,0,WH,2,0,PU,6,F
VW,Touran,2008,5300,253300,M,4/5,0,77,1896.0,diesel,0,VAR,2,0,VAN,4,F
Renault,Kangoo,2015,8400,131000,M,4/5,0,66,1461.0,diesel,1,WH,2,0,PU,5,F
Fiat,Doblo,2015,7300,118000,M,4/5,0,55,1248.0,diesel,0,WH,2,0,PU,5,F
Citroen,C3 Picasso,2009,3890,185000,M,4/5,0,66,1560.0,diesel,0,VAR,4,0,VAN,5,F
Citroen,C4 Picasso,2014,9899,163491,M,4/5,0,85,1560.0,diesel,1,GR,4,0,VAN,5,F
Fiat,Doblo,2016,7990,162000,M,4/5,0,66,1248.0,diesel,1,WH,2,0,PU,6,F
Renault,Kangoo,2014,6800,196000,M,4/5,0,66,1461.0,diesel,0,WH,2,0,PU,5,F
Chevrolet,Captiva,2007,5290,164000,M,4/5,0,110,1991.0,diesel,1,GR,4,0,SUV,4,4x4
Renault,Megane,2003,880,286000,M,4/5,1,60,1462.0,diesel,0,VAR,2,0,HB,3,F
Ford,Fiesta,2009,3990,141000,M,4/5,0,66,1598.0,diesel,1,GR,3,0,HB,4,F
VW,Passat,2006,4200,201000,M,4/5,0,103,1968.0,diesel,0,VAR,4,0,SW,4,F
Fiat,Panda,2015,4600,126000,M,4/5,0,55,1248.0,diesel,0,WH,2,0,HB,5,F
Opel,Corsa,2004,1850,148000,M,2/3,0,55,1199.0,petrol,0,VAR,4,0,HB,4,F
Opel,Astra,2002,1750,170000,M,4/5,0,74,2000.0,diesel,1,VAR,3,0,SDN,3,F
VW,Caddy,2011,6990,172000,M,4/5,0,75,1598.0,diesel,1,VAR,1,0,PU,5,F
Ford,Fiesta,2008,2650,232000,M,4/5,0,50,1399.0,diesel,0,GR,4,0,HB,4,F
Fiat,Doblo,2011,5300,108000,M,4/5,0,66,1248.0,diesel,1,WH,1,0,PU,4,F
Renault,Kangoo,2013,6200,196000,M,4/5,0,55,1461.0,diesel,1,GR,1,0,PU,5,F
Fiat,Doblo,2014,6990,166000,M,4/5,0,77,1598.0,diesel,1,WH,2,0,PU,5,F
Fiat,Doblo,2014,6700,189000,M,4/5,0,77,1598.0,diesel,1,GR,2,0,PU,5,F
Peugeot,Partner,2014,6100,148000,M,4/5,0,66,1560.0,diesel,0,WH,2,0,PU,5,F
Audi,A4,2009,8190,166000,M,4/5,0,105,1968.0,diesel,1,GR,4,0,SW,4,F
Audi,A4,2006,4890,172000,M,4/5,0,103,1968.0,diesel,0,GR,4,0,SDN,4,F
Citroen,C4,2011,4799,202000,M,4/5,0,66,1600.0,diesel,1,BL,4,0,HB,5,F
Citroen,Berlingo,2014,5900,185000,M,2/3,0,55,1560.0,diesel,0,WH,2,0,PU,5,F
Audi,A3,2007,5400,256000,M,4/5,0,103,1968.0,diesel,0,BL,4,0,SDN,4,F
Mercedes,B 200,2005,3700,265000,A,4/5,0,103,1992.0,diesel,1,GR,2,0,HB,4,F
Kia,Ceed,2007,3050,163000,M,4/5,0,103,1991.0,diesel,1,VAR,2,0,SW,4,F
Peugeot,207,2008,3400,207000,M,4/5,0,50,1398.0,diesel,0,BL,2,0,HB,4,F
Opel,Meriva,2006,2900,172000,M,4/5,0,55,1248.0,diesel,1,GR,2,0,HB,4,F
Mercedes,E 200,2012,17900,72000,A,4/5,0,100,2143.0,diesel,1,VAR,4,0,SDN,5,B
Peugeot,206,2002,2000,215000,M,2/3,0,80,1.0,petrol,0,BL,4,0,CBR,3,F
Citroen,C1,2007,2990,156000,A,2/3,0,50,998.0,petrol,0,GR,3,0,HB,4,F
Citroen,Berlingo,2014,5700,183000,M,4/5,0,55,1560.0,diesel,0,WH,2,0,PU,5,F
Fiat,Grande Punto,2013,6200,70000,M,4/5,0,55,1248.0,diesel,0,WH,2,0,PU,5,F
Citroen,C4,2005,2600,186000,M,4/5,0,66,1560.0,diesel,0,BL,4,0,HB,4,F
VW,Golf 4,2002,2700,174000,M,4/5,0,74,1896.0,diesel,1,VAR,4,0,HB,3,F
Audi,A6,2013,14850,195000,A,4/5,0,130,1968.0,diesel,0,BL,2,0,SW,5,F
VW,Golf 4,2002,1850,248565,M,4/5,0,77,1598.0,petrol,1,BL,2,0,SW,4,F
Chevrolet,Aveo,2007,1900,115000,M,4/5,0,53,1150.0,petrol,0,VAR,0,0,HB,4,F
Nissan,Qashqai,2007,3500,212081,M,4/5,0,110,1995.0,diesel,0,VAR,4,0,SUV,4,F
Opel,Astra,2008,2900,196000,M,4/5,0,92,1695.0,diesel,0,VAR,4,0,SW,4,F
Tata,Indica,2011,2950,150000,M,4/5,0,55,1398.0,petrol,0,BL,2,0,HB,4,F
Mitsubishi,Colt,2007,1250,180000,M,4/5,0,70,1332.0,petrol,0,BL,2,0,HB,4,F
Toyota,Corolla,2009,5990,149500,M,4/5,0,66,1398.0,diesel,0,GR,4,0,SDN,4,F
VW,Golf 5,2008,3700,196000,M,4/5,0,59,1390.0,petrol,0,GR,2,0,HB,4,F
Renault,Megane,2004,1600,235000,M,2/3,0,83,1590.0,petrol,0,BL,2,0,HB,4,F
VW,Polo,2006,2250,290000,M,4/5,0,51,1422.0,diesel,0,BL,2,0,HB,3,F
Peugeot,206,2007,2100,169300,M,2/3,0,55,1360.0,petrol,1,BL,2,0,HB,3,F
VW,Caddy,2007,4850,224000,M,4/5,0,77,1896.0,diesel,0,VAR,2,0,VAN,4,F
Audi,A4,2011,8450,183952,A,4/5,0,105,2000.0,diesel,0,VAR,4,0,SW,5,F
Opel,Astra,2004,2650,184388,M,4/5,0,66,1389.0,LPG,0,GR,4,0,SDN,4,F
Fiat,Doblo,2016,6990,143000,M,4/5,0,55,1248.0,diesel,1,WH,2,0,PU,6,F
Peugeot,208,2016,6450,168000,M,4/5,0,55,1598.0,diesel,1,WH,4,0,HB,6,F
Peugeot,206,2003,1700,169500,M,4/5,0,55,1360.0,petrol,0,GR,2,0,HB,3,F
Honda,CR_V,2012,11250,127000,M,4/5,0,110,1997.0,petrol,0,VAR,4,0,SUV,5,4x4
Renault,Clio,2006,2199,275000,M,4/5,0,63,1463.0,diesel,1,WH,0,0,SM,3,F
Fiat,Doblo,2016,6600,180000,M,4/5,0,55,1248.0,diesel,1,WH,2,0,PU,6,F
Fiat,Panda,2015,4990,117000,M,4/5,0,55,1248.0,petrol,1,VAR,2,0,HB,5,F
Hyundai,Terracan,2006,4000,163500,M,4/5,0,120,2902.0,diesel,0,BL,4,0,SUV,4,4x4
Fiat,Punto,2005,1850,156000,M,2/3,0,44,1242.0,petrol,0,GR,2,0,HB,4,F
Peugeot,307,2005,2750,183000,M,4/5,0,50,1398.0,diesel,1,GR,4,0,HB,4,F
Renault,Clio,2002,1580,131675,M,4/5,0,72,1390.0,petrol,0,BL,2,0,HB,3,F
Audi,A6,2009,6700,240000,M,4/5,0,100,1968.0,diesel,0,VAR,2,0,SW,5,F
VW,Golf 4,2000,1550,220000,M,4/5,1,85,1984.0,petrol,1,GR,4,0,HB,4,F
Citroen,C5,2013,6099,175000,M,4/5,0,85,1600.0,diesel,0,BL,4,0,SW,5,F
Renault,Modus,2008,2850,178952,M,4/5,1,61,1461.0,diesel,0,VAR,4,0,SDN,4,F
Audi,A4,2015,12700,150125,M,4/5,1,100,1968.0,diesel,1,VAR,4,0,SW,6,F
Ford,Mondeo,2012,6100,187400,M,4/5,0,85,1560.0,diesel,0,GR,4,0,SW,5,F
Ford,Fiesta,2005,1600,256254,M,2/3,0,50,1399.0,diesel,0,WH,2,0,HB,4,F
Škoda,Superb,2010,6850,252000,M,4/5,0,77,1896.0,diesel,0,GR,4,0,HB,4,F
Opel,Meriva,2015,7600,66900,M,4/5,0,74,1398.0,petrol,1,GR,2,0,VAN,6,F
Mercedes,A 170,2003,1699,168000,M,4/5,0,70,1689.0,diesel,0,VAR,2,0,HB,3,F
Lada,112,2004,590,174000,M,4/5,0,66,1499.0,petrol,0,VAR,0,0,HB,3,F
Opel,Astra,2014,6690,113000,M,4/5,0,96,1686.0,diesel,0,VAR,4,0,SW,5,F
VW,Touareg,2006,7000,336000,A,4/5,0,165,2987.0,diesel,1,BL,4,0,SUV,4,4x4
VW,Touran,2013,7899,183000,M,4/5,0,77,1598.0,diesel,1,BL,3,0,VAN,5,F
Opel,Agila,2003,1500,270000,M,4/5,0,56,1298.0,LPG,1,VAR,2,0,HB,3,F
Ford,Fiesta,2006,2190,170000,M,4/5,0,50,1397.0,diesel,1,WH,2,0,HB,4,F
Renault,Megane,2010,4890,238000,M,4/5,0,106,1500.0,diesel,1,WH,2,0,HB,5,F
Fiat,Grande Punto,2008,3150,156000,M,4/5,0,55,1248.0,diesel,0,GR,2,0,HB,4,F
Seat,Ibiza,2005,2500,196000,M,4/5,0,55,1.0,diesel,1,GR,3,0,HB,1,4x4
Toyota,RAV4,2008,4990,200500,M,4/5,0,130,2231.0,diesel,0,VAR,4,0,SUV,4,4x4
Opel,Corsa,1999,1200,112000,M,2/3,0,48,1200.0,LPG,1,GR,2,0,HB,3,F
Ford,Fiesta,2011,3799,250000,M,2/3,0,55,1399.0,diesel,0,VAR,2,0,HB,5,F
Citroen,C4,2007,2950,199640,M,4/5,0,66,1560.0,diesel,1,WH,2,0,HB,4,F
Lancia,Lybra,2004,1500,221563,M,4/5,0,85,1910.0,diesel,1,GR,4,0,SW,3,F
Peugeot,508,2015,11350,128000,M,4/5,0,110,1997.0,diesel,0,BL,4,0,SDN,6,F
Renault,Kangoo,2013,5700,166000,M,4/5,0,66,1461.0,diesel,1,WH,2,0,PU,5,F
Audi,A3,2004,4300,221000,A,2/3,0,103,1980.0,diesel,1,GR,4,0,HB,4,F
Ford,Fiesta,2006,2200,187759,M,4/5,0,59,1399.0,petrol,1,BL,2,0,HB,4,F
Audi,A6,2006,5690,187000,M,4/5,0,100,1968.0,diesel,1,VAR,4,0,SW,4,F
Peugeot,207,2006,3300,134000,M,4/5,0,65,1360.0,petrol,0,VAR,3,0,HB,4,F
Peugeot,308,2015,8750,185158,M,4/5,0,88,1560.0,diesel,1,WH,4,0,HB,6,F
MINI,Cooper,2004,2450,145000,M,2/3,0,85,1590.0,petrol,1,VAR,3,0,HB,4,F
VW,Golf 4,2003,2099,186958,M,4/5,0,55,1398.0,petrol,1,BL,2,0,HB,3,F
Mercedes,A 160,2003,1500,195000,M,4/5,0,75,1600.0,petrol,1,VAR,2,0,HB,3,F
Ford,Fiesta,2009,3590,149478,M,4/5,0,66,1560.0,diesel,1,WH,3,0,HB,4,F
Audi,A4,2008,6380,254234,M,4/5,0,105,1998.0,diesel,1,BL,4,0,SW,4,F
Citroen,C3,2010,4200,210296,M,4/5,0,50,1398.0,diesel,0,WH,2,0,HB,4,F
Mercedes,B 200,2006,4800,181000,M,4/5,0,103,1992.0,diesel,1,BL,2,0,HB,4,F
Opel,Corsa,2016,5990,168585,M,4/5,0,55,1248.0,diesel,0,WH,2,0,HB,6,F
Alfa Romeo,147,2000,1090,180000,M,2/3,0,110,1970.0,LPG,1,GR,4,0,HB,4,F
Ford,Fiesta,2009,3990,137300,M,2/3,0,50,1399.0,diesel,1,BL,2,0,HB,4,F
BMW,120,2007,6000,187354,M,4/5,0,105,1995.0,diesel,1,GR,4,0,HB,4,B
Opel,Astra,2010,6850,130000,M,4/5,0,103,1398.0,petrol,0,BL,4,0,SDN,5,F
Peugeot,307,2004,800,220000,M,4/5,1,66,1600.0,petrol,0,GR,3,0,SDN,3,F
Škoda,Octavia,2007,3990,278000,M,4/5,0,77,1900.0,diesel,1,BL,4,0,HB,4,F
