brand,make,year,price,km,gearbox,doors,imported,kW,cm3,fuel,registered,color,aircon,damage,car_type,standard,drive
Mercedes,A 160,2005,2950,160000,M,4/5,0,60,1991.0,diesel,0,GR,4,0,HB,4,F
Renault,Modus,2005,2550,95000,M,4/5,0,55,1149.0,petrol,1,VAR,2,0,HB,3,F
Mercedes,C 200,2003,3499,108480,A,4/5,0,120,1796.0,petrol,1,VAR,3,0,SDN,4,B
Opel,Astra,2001,1999,192000,M,4/5,0,74,1990.0,diesel,1,VAR,2,0,HB,3,F
Renault,Megane,2014,6100,151000,M,4/5,0,70,1500.0,diesel,1,WH,4,0,HB,5,F
Opel,Insignia,2013,5900,257000,M,4/5,0,118,1956.0,diesel,0,VAR,4,0,SW,5,F
Toyota,Yaris,2019,10250,13024,M,4/5,0,51,998.0,petrol,1,VAR,2,0,HB,6,F
BMW,116,2015,14950,59566,M,4/5,0,86,1496.0,diesel,0,WH,4,0,HB,5,B
Peugeot,207,2006,3450,130000,M,4/5,0,55,1360.0,petrol,1,VAR,4,0,HB,4,F
Opel,Corsa,2006,3099,170000,M,4/5,0,55,1248.0,diesel,1,GR,2,0,HB,4,F
Ford,Focus,2002,650,200000,M,4/5,0,74,1798.0,diesel,0,GR,3,1,SW,3,F
Fiat,Doblo,2017,8200,64000,A,4/5,0,70,1248.0,diesel,1,WH,2,0,PU,6,F
Volvo,V50,2006,2450,170000,M,4/5,0,100,1994.0,diesel,0,VAR,4,0,SW,4,F
Audi,A4,2009,7850,208000,M,4/5,0,105,1968.0,diesel,0,GR,4,0,SDN,4,F
Opel,Insignia,2009,5900,195500,M,4/5,0,162,1998.0,petrol,1,BL,4,0,SW,4,4x4
Honda,Civic,2006,4990,215000,M,4/5,0,61,1339.0,petrol,0,BL,3,0,SDN,4,F
BMW,116,2010,6850,186000,M,4/5,0,85,1995.0,diesel,1,BL,4,0,HB,4,B
Opel,Astra,2010,5500,68100,M,4/5,0,74,1398.0,petrol,1,GR,2,0,HB,5,F
Opel,Corsa,2009,4190,99422,M,4/5,0,59,1200.0,petrol,0,VAR,3,0,SDN,4,F
Opel,Astra,2013,6850,84000,M,4/5,0,81,1686.0,diesel,1,WH,4,0,HB,5,F
Citroen,C5,2006,2390,173410,M,4/5,0,81,1560.0,diesel,0,GR,4,0,HB,4,F
Renault,Laguna,2013,6590,157799,M,4/5,0,81,1461.0,diesel,0,BL,4,0,SDN,6,F
Peugeot,207,2011,3900,180000,M,4/5,0,68,1560.0,diesel,0,WH,2,0,SW,5,F
VW,Tiguan,2009,8850,188000,A,4/5,0,103,1968.0,diesel,0,GR,4,0,SUV,5,4x4
VW,Passat,2008,4499,269089,M,4/5,0,103,1968.0,diesel,0,GR,4,0,SW,4,F
Citroen,C4,2006,2450,177000,M,4/5,0,66,1596.0,diesel,0,GR,2,0,HB,4,F
Audi,A4,2007,6190,347000,M,4/5,0,85,1896.0,diesel,0,VAR,4,0,SDN,4,F
Peugeot,308,2015,7750,112000,M,4/5,0,73,1560.0,diesel,0,WH,4,0,HB,6,F
Nissan,Qashqai,2008,6500,161000,A,4/5,0,110,1995.0,diesel,1,GR,4,0,SUV,4,4x4
Renault,Scenic,2010,4990,162506,M,4/5,0,96,1870.0,diesel,1,GR,4,0,VAN,5,F
Audi,A4,2001,2599,230000,M,4/5,0,85,1896.0,diesel,1,VAR,4,0,SW,3,F
Ford,Mondeo,2015,10199,155000,M,4/5,0,110,1997.0,diesel,0,GR,4,0,SW,6,F
Fiat,Panda,2013,5600,189000,M,4/5,0,55,1248.0,diesel,0,WH,3,0,PU,5,F
Ford,Fiesta,2009,4950,125000,M,4/5,0,60,1242.0,petrol,1,BL,4,0,HB,4,F
Opel,Corsa,2013,5500,48125,M,4/5,0,63,1229.0,petrol,1,GR,2,0,HB,4,F
Peugeot,308,2008,3500,181000,M,4/5,0,110,1600.0,petrol,1,VAR,4,0,HB,5,F
Škoda,Octavia,2015,11499,186194,A,4/5,0,81,1598.0,diesel,0,VAR,4,0,SW,5,F
Mazda,RX_8,2003,4450,211640,M,4/5,0,170,1308.0,petrol,1,VAR,4,0,CP,3,B
Toyota,Yaris,2019,9990,17448,M,4/5,0,51,998.0,petrol,0,VAR,3,0,HB,6,F
Peugeot,208,2016,6450,160000,M,4/5,0,55,1560.0,diesel,0,WH,2,0,HB,6,F
Citroen,C4 Cactus,2015,7500,70290,M,4/5,0,60,1199.0,diesel,0,VAR,4,0,HB,5,F
Škoda,Octavia,2014,9799,193769,A,4/5,0,77,1598.0,diesel,0,BL,4,0,SW,5,F
Renault,Megane,2007,2200,151789,M,4/5,0,82,1598.0,petrol,1,VAR,4,0,SW,4,F
Citroen,Jumpy,2012,4650,120000,M,4/5,0,66,1600.0,diesel,1,VAR,3,0,PU,5,F
Audi,A4,2004,5190,176361,M,4/5,0,103,1968.0,diesel,1,GR,4,0,SDN,4,F
BMW,320,2002,1900,245000,M,4/5,0,110,1956.0,diesel,0,VAR,4,0,SW,3,B
Renault,Megane,2014,6350,101000,M,4/5,0,70,1461.0,diesel,1,WH,2,0,HB,5,F
Škoda,Octavia,2014,10499,186965,A,4/5,0,110,1968.0,diesel,1,GR,4,0,SW,5,F
VW,Golf 5,2005,4050,138000,M,4/5,0,60,1400.0,petrol,0,GR,4,0,HB,4,F
Opel,Meriva,2006,2400,175213,S,4/5,0,77,1596.0,petrol,0,VAR,4,0,VAN,4,F
Ford,Fiesta,2009,4250,150000,M,4/5,0,55,1596.0,diesel,0,VAR,4,0,HB,4,F
Kia,Ceed,2009,3950,142304,M,4/5,0,84,1582.0,diesel,0,GR,4,0,SW,4,F
Audi,A3,2011,7900,192000,M,4/5,1,77,1588.0,diesel,0,VAR,4,0,HB,4,F
Opel,Meriva,2009,3350,133201,M,4/5,0,92,1700.0,diesel,1,VAR,4,0,VAN,4,F
Chevrolet,Trax,2014,10490,112000,M,4/5,0,96,1686.0,diesel,1,WH,3,0,SUV,5,F
BMW,218 Active Tourer,2015,14800,204000,A,4/5,0,110,1995.0,diesel,1,VAR,4,0,HB,6,4x4
Audi,A3,2015,11499,170303,M,4/5,0,110,1968.0,diesel,1,VAR,4,0,HB,6,F
Mercedes,A 180,2008,4390,154245,M,4/5,0,80,1991.0,diesel,1,VAR,3,0,HB,4,F
VW,Sharan,2011,9850,218255,M,4/5,0,103,2000.0,diesel,1,VAR,3,0,SDN,5,F
Renault,Kangoo,2016,5990,169000,M,4/5,0,55,1461.0,diesel,0,WH,2,0,PU,6,F
Opel,Astra,2008,4250,156000,M,4/5,0,55,1248.0,diesel,0,GR,3,0,HB,4,F
Peugeot,Partner,2014,5990,160653,M,4/5,0,66,1560.0,diesel,0,WH,2,0,PU,5,F
Fiat,Doblo,2017,8990,135000,M,4/5,0,77,1598.0,diesel,0,WH,2,0,VAN,6,F
Volvo,XC 60,2014,16999,157528,A,4/5,0,133,1969.0,diesel,1,WH,4,0,SUV,6,F
Renault,Kangoo,2016,7700,147000,M,4/5,0,55,1461.0,diesel,1,WH,2,0,PU,6,F
Renault,Kangoo,2013,5700,165000,M,4/5,0,55,1461.0,diesel,0,WH,2,0,PU,5,F
Citroen,C4,2017,8150,146000,M,4/5,0,73,1560.0,diesel,1,WH,4,0,HB,6,F
Audi,A4,2005,3900,189000,M,4/5,0,125,1968.0,diesel,1,GR,4,0,SW,4,F
Seat,Altea XL,2014,8300,184000,M,4/5,0,77,1598.0,diesel,1,VAR,4,0,HB,5,F
Opel,Insignia,2014,8990,193869,A,4/5,0,96,1956.0,diesel,0,GR,4,0,SDN,5,F
Citroen,Jumper,2013,7650,175000,M,4/5,0,96,2200.0,diesel,1,WH,0,0,PU,5,F
Volvo,XC 60,2014,20399,138158,A,4/5,0,133,1969.0,diesel,0,VAR,4,0,SUV,6,F
Citroen,C5,2012,8299,168000,A,4/5,0,120,1998.0,diesel,0,VAR,4,0,SDN,4,F
Renault,Kangoo,2013,6600,161000,M,4/5,0,66,1461.0,diesel,1,WH,2,0,PU,5,F
Renault,Kangoo,2014,6300,185000,M,4/5,0,66,1461.0,diesel,0,WH,2,0,PU,5,F
Citroen,C5,2009,6150,189000,A,4/5,0,100,1997.0,diesel,0,GR,4,0,SDN,4,F
Fiat,500,2017,10990,31000,M,2/3,0,77,875.0,petrol,0,VAR,2,0,HB,6,F
Ford,Focus,2009,2999,223000,M,4/5,0,80,1560.0,diesel,0,WH,2,0,SW,5,F
Volvo,XC 60,2015,21999,147304,A,4/5,0,110,1969.0,diesel,0,VAR,4,0,SUV,6,F
Renault,Kangoo,2013,5900,108000,M,4/5,0,55,1461.0,diesel,0,WH,1,0,PU,5,F
Renault,Grand Scenic,2007,2990,185705,M,4/5,0,96,1870.0,diesel,0,GR,4,0,VAN,4,F
Mercedes,ML 250,2014,26199,215987,A,4/5,0,150,2143.0,diesel,1,GR,4,0,SUV,6,4x4
VW,Touran,2011,7500,189288,M,4/5,0,77,1598.0,diesel,0,BL,2,0,PU,5,F
Opel,Adam,2013,7700,48000,M,2/3,1,74,1388.0,petrol,0,VAR,2,0,HB,5,F
Citroen,C5,2008,4690,191560,M,4/5,0,100,1997.0,diesel,0,VAR,4,0,SDN,4,F
Ford,Fiesta,2002,1650,167000,M,4/5,0,59,1389.0,petrol,0,GR,2,0,SDN,3,F
Seat,Altea,2005,2890,162358,M,4/5,0,77,1896.0,diesel,1,VAR,3,0,HB,4,F
Fiat,Croma,2006,2100,173695,M,4/5,1,88,1910.0,diesel,0,GR,2,0,SW,4,F
Audi,A4,2005,3450,307000,A,4/5,0,120,2496.0,diesel,1,VAR,4,0,SW,4,F
Ford,Fiesta,2006,2550,215000,M,4/5,0,50,1399.0,diesel,0,GR,2,0,HB,4,F
Opel,Corsa,2018,7500,7750,M,2/3,0,40,1398.0,petrol,0,WH,2,0,PU,6,F
Škoda,Octavia,2010,5650,187635,M,4/5,0,77,1896.0,diesel,1,GR,4,0,SW,4,F
Fiat,500,2007,4590,147102,M,2/3,0,55,1248.0,diesel,0,VAR,2,0,HB,4,F
Volvo,XC 60,2014,14999,138000,A,4/5,0,133,2400.0,diesel,1,VAR,4,0,SUV,5,4x4
Fiat,Grande Punto,2009,3650,116833,M,4/5,0,66,1248.0,diesel,1,GR,2,0,SDN,4,F
VW,Golf 4,2004,2950,191652,M,4/5,0,50,1896.0,diesel,0,BL,2,0,SW,3,F
Fiat,500L,2014,6899,167491,M,4/5,0,77,1598.0,diesel,1,GR,2,0,HB,5,F
VW,Golf 5,2005,3950,192559,M,4/5,0,77,1896.0,diesel,1,BL,2,0,SDN,4,F
Peugeot,407,2005,2950,168695,M,4/5,0,80,1560.0,diesel,1,GR,4,0,SW,4,F
BMW,525,2013,18600,154000,A,4/5,0,218,1995.0,diesel,1,WH,4,0,SDN,6,4x4
Mercedes,B 180,2013,11399,182955,M,4/5,0,80,1461.0,diesel,0,BL,2,0,HB,5,F
Fiat,Punto,2004,2100,157000,M,4/5,0,44,1242.0,petrol,0,VAR,2,0,SDN,3,F
Renault,Laguna,2013,9500,130594,M,4/5,0,96,1995.0,diesel,0,BL,4,0,SDN,5,F
Citroen,BX,1989,400,170000,M,4/5,1,48,1600.0,petrol,0,GR,0,0,SDN,1,F
Renault,Grand Scenic,2011,5500,217418,M,4/5,0,81,1461.0,diesel,1,GR,2,0,VAN,5,F
Mercedes,C 200,2009,6950,159931,A,4/5,0,100,2148.0,diesel,0,BL,4,0,SW,4,B
Peugeot,307,2001,1600,174212,M,4/5,0,66,1998.0,diesel,1,GR,4,0,HB,3,F
Renault,Scenic,2008,3650,184000,M,4/5,0,96,1860.0,diesel,1,GR,4,0,VAN,4,F
BMW,525,2007,8000,280000,A,4/5,0,132,2499.0,diesel,0,BL,4,0,SDN,4,B
Fiat,Grande Punto,2013,4690,104000,M,4/5,1,55,1250.0,diesel,0,GR,3,0,HB,5,F
Opel,Corsa,2005,1700,199205,M,2/3,0,51,1299.0,diesel,0,GR,3,0,SDN,3,F
Renault,Megane,2008,2950,191707,M,4/5,0,63,1461.0,diesel,1,WH,2,0,SDN,4,F
Lada,Niva,2000,2200,135000,M,2/3,0,54,1689.0,LPG,1,VAR,0,0,SUV,1,4x4
Fiat,500L,2014,7499,159193,M,4/5,0,63,1248.0,diesel,0,VAR,4,0,HB,5,F
VW,Touareg,2013,21499,142759,A,4/5,0,179,2967.0,diesel,0,VAR,4,0,SUV,5,4x4
Ford,Fiesta,2004,1950,164572,M,4/5,0,50,1399.0,diesel,0,VAR,3,0,HB,3,F
Renault,Clio,2002,1000,250000,M,4/5,0,47,1500.0,diesel,0,VAR,4,0,HB,3,F
Renault,Laguna,2008,4350,206000,M,4/5,0,110,1995.0,diesel,0,GR,4,0,SDN,4,F
Fiat,500,2008,4950,132735,M,2/3,0,55,1248.0,diesel,0,VAR,4,0,HB,4,F
Opel,Astra,2010,5690,160388,M,4/5,0,81,1686.0,diesel,0,VAR,4,0,HB,4,F
BMW,320,2009,7450,219619,M,4/5,0,130,1995.0,diesel,0,BL,4,0,SW,4,4x4
BMW,525,2012,14999,194132,M,4/5,0,160,1995.0,diesel,1,BL,4,0,SDN,5,B
Chevrolet,Captiva,2008,4800,189000,A,4/5,0,110,1991.0,diesel,0,GR,4,0,SUV,4,F
Mazda,CX_7,2009,7500,197000,M,4/5,0,127,2184.0,diesel,0,VAR,4,0,SUV,5,4x4
Opel,Astra,2010,5750,185000,M,4/5,0,81,1686.0,diesel,0,GR,4,0,HB,5,F
VW,Passat,2009,5390,180657,M,4/5,0,103,1968.0,diesel,1,GR,3,0,SW,4,F
